DOI,Authors,Publication Year,Article Title,Abstract,Source Title,Publisher,Author Keywords,Keywords Plus,Addresses,Entities,Entities_TGEN,family,family2,bioactives,bioactives_grouped,Bacteria,gram,FUNG,Entities_Grouped,family_Grouped,Genus,Country
10.1080/13880209.2017.1306712,"Olivas-Quintero, S; López-Angulo, G; Montes-Avila, J; Díaz-Camachoa, SP; Vega-Aviña, R; López-Valenzuela, JA; Salazar-Salas, NY; Delgado-Vargas, F",2017,Chemical composition and biological activities of Helicteres vegae and Heliopsis sinaloensis,"Context: Helicteres vegae Cristobal (Sterculiaceae) (Hv) and Heliopsis sinaloensis B. L. Turner (Asteraceae) (Hs) are endangered and poorly studied plant species; related plants have been used against chronic-degenerative and infectious diseases. Therefore, Hv and Hs could be sources of bioactive compounds against these illnesses. Objective: To determine the chemical composition and biological activities (antioxidant, antimutagenic and antimicrobial) of Hv and Hs leaves (L) and stems (S). Materials and methods: Methanol extracts (ME) of each plant/tissue were evaluated for their phytochemicals; phenolics (HPLC-DAD-ESI-MS); antioxidant activity (AA) (0.125-4 mg/mL) (DPPH, ABTS, ORAC and beta-carotene discoloration); antimutagenicity (0.5 and 1mg/plate) (Ames assay, tester strain Salmonella enterica serovar Typhimurium YG1024, 1-nitropyrene as mutagen); activity against human pathogens (1mg/mL); and toxicity (0.01-2 mg/mL) (Artemia salina assay). Results: All ME showed flavonoids and triterpenes/steroids. The ME-SHv had the highest content of total phenolics (TP) (2245.82 +/- 21.45mg GAE/100 g d.w.) and condensed tannins (603.71 +/- 1.115mg CE/100 g d. w.). The compounds identified were flavonoids (kaempferol 7-O-coumaroylhexoside, and two kaempferol 7-O-rhamnosylhexosides) and phenolics [rosmarinic acid, and 3'-O-(8 ''-Z-caffeoyl) rosmarinic acid]. The ME-LHs showed the highest content of flavonoids (357.88mg RE/g d. w.) and phenolic acids (238.58mg CAE/g d. w.) by HPLC. The ME-SHv showed the highest AA. All ME were strong antimutagens (63.3-85.7%). Only the Hs extracts were toxic (ME-LHs, LC50 = 94.9 +/- 1.7 mu g/mL; ME-SHs, LC50 = 89.03 +/- 4.42 mu g/mL). Discussion and conclusions: Both Hv and Hs are potential sources of preventive and therapeutic agents against chronic-degenerative diseases.",PHARMACEUTICAL BIOLOGY,TAYLOR & FRANCIS LTD,Phenolics; antimicrobial; antimutagenic; antioxidant; flavonoids; liquid chromatography; electrospray ionization; mass spectrometry; toxicity,MEXICAN MEDICINAL-PLANTS; ISORA L. FRUITS; ANTIOXIDANT ACTIVITY; ROSMARINIC ACID; ANTIMUTAGENIC PROPERTIES; ANTIMICROBIAL ACTIVITY; PHENOLIC-COMPOUNDS; MASS-SPECTROMETRY; EXTRACT; ASSAY,"[Olivas-Quintero, Sandra; Lopez-Angulo, Gabriela; Montes-Avila, Julio; Paz Diaz-Camachoa, Sylvia; Lopez-Valenzuela, Jose Angel; Yareli Salazar-Salas, Nancy; Delgado-Vargas, Francisco] Autonomous Univ Sinaloa, Sch Chem & Biol Sci, Ciudad Univ S-N, Culiacan 80010, Sinaloa, Mexico; [Vega-Avina, Rito] Autonomous Univ Sinaloa, Sch Agron, Culiacan, Sinaloa, Mexico","Heliopsis sinaloensis, Helicteres vegae",,"Asteraceae, Malvaceae",,"phenolics, tannins, coumarins, carotenoid, flavonoids, triterpenoids, phenolics, steroids","phenolics, tannins, coumarins, carotenoid, flavonoids, triterpenoids, phenolics, steroids",Salmonella enterica,negative,,"Heliopsis sinaloensis, Helicteres vegae","Asteraceae, Malvaceae","Heliopsis, Helicteres",Mexico
10.3920/QAS2018.1315,"Santos, TRJ; Barbosa, PF; Rodrigues, HGA; Narain, N; Santana, LCLD",2019,Granadilla seed extract as antimicrobial and bioactive compounds source: mathematical modelling of extraction conditions,"Extracts of Passiflora ligularis Juss. (granadilla) residues (peel, seed and mixed peel, seed) were initially evaluated for antimicrobial potential against Bacillus cereus, Bacillus subtilis, Enterococcus faecalis, Pseudomonas aeruginosa, Staphylococcus aureus, Serratia marcescens, Escherichia coli and Salmonella enteritidis. Notably, 80% acetone granadilla seed extract showed inhibitory activity against major bacteria (five) compared to the other extracts. Next, the extraction conditions of this extract were optimised, varying the solid/solvent ratio (0.5: 10-6.0: 10), incubation time (10-60 min) and temperature (30-60 degrees C), to obtain maximum antimicrobial activity, total phenolic content (TPC) and total flavonoid content (TFC). A central composite rotatable design (2(3) factorial arrangement with six axial points and three central points) was used. The temperature and solid/solvent ratio were most significant parameters to obtain extracts with antibacterial potential and significant bioactive compounds content (TPC and TFC). The response surfaces indicated that extracts obtained with increased solid/solvent molar ratio and temperature possess maximum inhibitory potential against most of the tested bacteria. However, extracts obtained with decreased molar ratio and increased temperature will have maximum TPC and TFC, respectively. Collectively, the data demonstrate that granadilla residue extracts have excellent potential as a source of natural antimicrobial and bioactive compounds, under optimised extraction conditions.",QUALITY ASSURANCE AND SAFETY OF CROPS & FOODS,WAGENINGEN ACADEMIC PUBLISHERS,optimisation; exotic fruit; fruit residue; polyphenols; response surface,ANTIOXIDANT; PROPOLIS,"[Santos, T. R. J.; Antunes Rodrigues, H. G.; Lins de Aquino Santana, L. C.] Univ Fed Sergipe, Dept Food Technol, Lab Food Microbiol & Bioengn, Av Marechal Rondon S-N, BR-49100000 Sao Cristovao, Sergipe, Brazil; [Barbosa, P. F.; Narain, N.] Univ Fed Sergipe, Lab Flavor & Chromatog Anal, Av Marechal Rondon S-N, BR-49100000 Sao Cristovao, Sergipe, Brazil",##adi,Passiflora ligularis,,Passifloraceae,"phenolics, flavonoids","phenolics, flavonoids","Bacillus cereus, Staphylococcus aureus, Enterococcus faecalis, Bacillus subtilis, Escherichia coli, Pseudomonas aeruginosa, Serratia marcescens","positive, positive, positive, positive, negative, negative, negative",,Passiflora ligularis,Passifloraceae,Passiflora,Brazil
10.1016/j.stress.2023.100304,"Takahashi, KM; Nakasato, JA; de Jesus, GS; Micheletti, AC; Pott, A; Yoshida, NC; Paulo, PL",2024,Antimicrobial activity of Pantanal macrophytes against multidrug resistant bacteria shows potential for improving nature-based solutions,"The presence of macrophytes in constructed wetlands (CW) applied within the concept of nature-based solution (NBS) is crucial. Besides their role in the phytoremediation of pollutants, the cultivated plants, if properly selected, can also produce a range of bioactive compounds, including those with potential inhibitory effects against pathogenic bacteria. Bioactive compounds, such as flavonoids and ellagitannins, known for their remarkable antimicrobial properties, offer a sustainable solution to the global challenge of antibiotic resistance. In this study, we investigated macrophyte species adapted to the water variations in the Pantanal region (flood and dry seasons), focusing on those with both antimicrobial and ornamental potential, that could improve the ability of a CW system to treat greywater. Seven different macrophyte species were collected, cultivated, and evaluated for their antimicrobial activity (AA) against five standard bacterial strains and five multidrug-resistant clinical bacterial strains. Extracts from the leaf, stem, and root of Polygonum acuminatum showed the best AA against clinical multidrug-resistant strains of Staphylococcus aureus, Enterococcus faecium, and Escherichia coli, with minimum inhibitory concentration (MIC) values ranging from 78.13 to 312.5 mu g.mL-1. Furthermore, the leaves of Ludwigia lagunae and P. acuminatum also showed considerable AA against standard strains of Enterococcus faecalis (MIC = 19.5 and 39.06 mu g.mL-1, respectively) and Pseudomonas aeruginosa (MIC = 156.25 mu g. mL-1 for both). High-Performance Liquid Chromatography with Ultraviolet and Mass Spectrometry analysis of these extracts identified important bioactive compounds, including flavonoids (quercetin 3-rhamnoside, hydropiperoside, quercetin 3-O-rutinoside, quercetin, myricetin 3-O-rhamnoside, kaempferol 3-O-rhamnoside, formononetin, and calycosin) and ellagitannins (3,3 ' 4-tri-O-methylelagic acid, galloys-HHDP-glucose, and ellagic acid), along with other bioactive compounds. These results indicate that P. acuminatum and L. lagunae hold potential for application in CW owing to their antimicrobial property, local adaptability, and ornamental appeal.",PLANT STRESS,ELSEVIER,resistant bacteria; plant extracts; ornamental plants; antibacterial activity; bioactive compounds,ELECTROSPRAY-IONIZATION; STAPHYLOCOCCUS-AUREUS; HYDROLYZABLE TANNINS; PHENOLIC-COMPOUNDS; ESCHERICHIA-COLI; STEM BARK; IN-VIVO; EXTRACT; ENTEROCOCCUS; FLAVONOIDS,"[Takahashi, Karen Midori; Nakasato, Juliano Akio; Paulo, Paula Loureiro] Univ Fed Mato Grosso do Sul, Fac Engn Architecture & Urbanism & Geog, Ave Costa & Silva,S-n, BR-79070900 Campo Grande, MS, Brazil; [de Jesus, Genilson Silva; Micheletti, Ana Camila; Yoshida, Nidia Cristiane] Univ Fed Mato Grosso do Sul, Chem Inst, Ave Senador Filinto Muler 1555, BR-79074460 Campo Grande, MS, Brazil; [Pott, Arnildo] Univ Fed Mato Grosso do Sul, Fac Pharmaceut Sci Food & Nutr, Ave Costa & Silva,S-n, BR-79070900 Campo Grande, MS, Brazil","Polygonum acuminatum, Ludwigia lagunae",,"Polygonaceae, Onagraceae",,"tannins, flavonoids","tannins, flavonoids","Enterococcus faecium, Staphylococcus aureus, Enterococcus faecalis, Escherichia coli, Pseudomonas aeruginosa","positive, positive, positive, negative, negative",,"Polygonum acuminatum, Ludwigia lagunae","Polygonaceae, Onagraceae","Polygonum, Ludwigia",Brazil
10.1002/jsfa.6294,"Nowak, R; Olech, M; Pecio, L; Oleszek, W; Los, R; Malm, A; Rzymowska, J",2014,"Cytotoxic, antioxidant, antimicrobial properties and chemical composition of rose petals","BACKGROUNDRosa rugosa petals are used for production of teas, jams, wines and juices. Despite the wide availability of rose cultivars, comprehensive information on petal chemical composition and healthful properties is still lacking. Therefore, the aim of this study was analysis of cytotoxic, antioxidant and antimicrobial activity and chemical composition of rugosa rose petals. RESULTSPetals of R. rugosa were evaluated for their cytotoxic effect against cervical (HeLa) and breast cancer (T47D) cell lines and for antiradical activity (with DPPH center dot). As a result, significant cytotoxic (up to 100% of dead cells) and antiradical properties (IC50 1.33-0.08mgmg(-1) DPPH center dot) were demonstrated. Moreover, notable antimicrobial activity against eight bacterial (i.e. Staphylococcus. epidermidis, S. aureus, Bacillus subtilis, Micrococcus luteus, Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Proteus mirabilis) and two yeast strains (Candida. albicans, C. parapsilosis) was shown. Total phenolic, flavonoid, phenolic acid, tannin, carotenoid and polysaccharide content in petals was determined using spectrophotometric methods. Liquid chromatography-electrospray ionization-tandem mass spectrometry was used to thoroughly analyze phenolic acids and flavonoid glycosides in the methanolic extract and fractions obtained after its separation. Five phenolic acids and six flavonoids previously not reported in the plant material were identified. CONCLUSIONThis is the first such detailed report on chemical composition and biological activity of R. rugosa petals. (c) 2013 Society of Chemical Industry",JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,WILEY,Rosa rugosa; LC-MS; radical scavenging activity; antibacterial activity; cytotoxic effect; phenolics,ANTIRADICAL ACTIVITY; RUGOSA; FLOWERS,"[Nowak, Renata; Olech, Marta] Med Univ Lublin, Dept Pharmaceut Bot, PL-20093 Lublin, Poland; [Pecio, Lukasz; Oleszek, Wieslaw] State Res Inst, Dept Biochem & Crop Qual, Inst Soil Sci & Plant Cultivat, PL-24100 Pulawy, Poland; [Los, Renata; Malm, Anna] Med Univ Lublin, Dept Pharmaceut Microbiol, PL-20093 Lublin, Poland; [Rzymowska, Jolanta] Med Univ Lublin, Dept Biol & Genet, PL-20093 Lublin, Poland",C,Rosa rugosa,,Rosaceae,"noise, carotenoid, tannins, flavonoids, phenolics, flavonoids","noise, carotenoid, tannins, flavonoids, phenolics, flavonoids","Proteus mirabilis, Micrococcus luteus, Bacillus subtilis, Escherichia coli, Pseudomonas aeruginosa, Klebsiella pneumoniae","negative, positive, positive, negative, negative, negative",,Rosa rugosa,Rosaceae,Rosa,Poland
10.1016/j.jafr.2024.101559,"Puttongsiri, T; Manichart, N; Teerarak, M; Sikhao, P; Somala, N; Tongsri, P; Pilasombut, K",2025,"Siamese neem tree as a natural preservative: Chemical profile, antioxidant properties, and antibacterial efficacy against foodborne pathogens and spoilage bacteria","The objective of the present study was to investigate the effect of various ethanol in water solvent systems (0, 25, 50, 75 and 100 % v/v) on the extraction crude yield, total phenolic content, total flavonoid content, and chemical profile of Azadirachta indica (Siamese neem tree) leaf extracts. In addition, the antioxidant and antimicrobial properties were investigated using in vitro assays. Crude yield was highest for the water extract (5.78 g/ 100 g DW) and decreased with increased ethanol. Total phenolic and flavonoid contents were highest in the 75 % ethanol extract (26.95 mg GAE/g crude and 23.73 mg QE/g crude, respectively). GC-MS analysis of the 75 % ethanol extract revealed 33 bioactive compounds, accounting for 96.33 % of the total area. Significant components included benzene, 1,4-bis(phenylmethyl)- (15.05 %), and naphthalene, 1,6-dimethyl- (10.98 %); also present were sterols, fatty acids, hydrocarbons, aromatic, and heterocyclic compounds, indicating a complex chemical profile. In antioxidant assays, the 75 % ethanol extract revealed the highest DPPH radical scavenging activity (IC50: 143.03 mg/L), reducing power (IC50: 378.69 mg/L), and lipid peroxidation (IC50: 526.25 mg/L). However, the absolute ethanol extract exhibited both the highest metal chelating activity (IC50: 382.60 mg/L) and the strongest antimicrobial activity, inhibiting all 11 tested foodborne pathogenic and spoilage bacteria. The lowest minimum inhibitory concentration (MIC) of 25 mg/mL was observed for Staphylococcus aureus, Aeromonas hydrophila, Pseudomonas fluorescens, Latilactobacillus sakei, Streptococcus sp., and Lactococcus cremoris, with inhibition zone diameters of 27.21, 28.79, 28.19, 17.60, 15.09 and 11.20 mm, respectively. Similarly, the lowest minimum bactericidal concentration (MBC) of 25 mg/mL was obtained for S. aureus and L. sakei, indicating potent antibacterial effects against these species. Future studies should include direct comparative analyses of neem extracts and synthetic preservatives to evaluate further their relative efficacy and applicability in realworld food systems.",JOURNAL OF AGRICULTURE AND FOOD RESEARCH,ELSEVIER,Azadirachta indica; Antioxidant; Antimicrobial; Natural antimicrobials; Natural food additive; Solvent extract; Spoilage bacteria,AZADIRACHTA-INDICA; FATTY-ACIDS; EXTRACTS; SALMONELLA; PHENOLICS; STEROLS; SOLVENT; DPPH,"[Puttongsiri, Tongchai] King Mongkuts Inst Technol Ladkrabang, Sch Food Ind, Bangkok 10520, Thailand; [Manichart, Nutcha; Teerarak, Montinee; Sikhao, Potjana; Somala, Naphat; Tongsri, Pajongjit; Pilasombut, Komkhae] King Mongkuts Inst Technol, Sch Agr Technol, Bangkok 10520, Thailand",Azadirachta indica,,Meliaceae,,"phenolics, flavonoids","phenolics, flavonoids","Staphylococcus aureus, Latilactobacillus sakei, Aeromonas hydrophila","positive, positive, negative",,Azadirachta indica,Meliaceae,Azadirachta,Thailand
10.1155/2020/5946541,"Savadi, S; Vazifedoost, M; Didar, Z; Nematshahi, MM; Jahed, E",2020,Phytochemical Analysis and Antimicrobial/Antioxidant Activity of Cynodon dactylon (L.) Pers. Rhizome Methanolic Extract,"A proper use of medicinal plants requires accurate scientific information and understanding of their chemical constituents. The therapeutic effects in the plants are due to the chemical compounds therein. Cynodon dactylon (L.) Pers. of the family Poaceae is a perennial, pan-tropical species of grass which is a well-known traditional medicine and has a renowned position for treatment of many symptoms and diseases. The chemical composition, free radical scavenging activity, and antimicrobial properties of the methanolic extract of C. dactylon rhizomes against selected bacterial and fungal strains were investigated using disk-diffusion method. The results indicated that the major fatty acid structures of C. dactylon methanolic extract were palmitic acid (36.40%), oleic acid (28.26%), and linoleic acid (17.01%). Alpha-tocopherol (151.39 mg center dot kg(-1)) and sitosterol (3199.62 mg center dot kg(-1)) were the main tocopherols and sterols, respectively. According to the instrumental analysis, the total phenolic compounds of methanolic extract were equal to 917.08 mg center dot kg(-1) and the main compound was hydroquinone (66.89%). Antioxidant activity of the methanolic extract at concentrations of 100-1000 ppm was 9.81-67.87%, which is significantly different from the 200 ppm synthetic antioxidant (BHT) with free radical scavenging activity equal to 48.93% (p<0.05). The antimicrobial study revealed that the methanolic extract of C. dactylon rhizomes was effective against all of the bacterial pathogens and the antibacterial activity increased with an increase in the concentration of extract. Therefore, the largest zone of inhibition was observed against Bacillus cereus (18.3 +/- 0.4 mm) and Escherichia coli (16.8 +/- 0.5 mm) at 1000 ppm. The highest resistance was observed with Pseudomonas aeruginosa (inhibition zone of 12.8 +/- 0.15 mm). Methanolic extract at 200 ppm had no effect against fungus Aspergillus niger. However, at 1000 ppm concentration, an inhibition zone with a diameter of 14.4 +/- 0.45 mm was formed.",JOURNAL OF FOOD QUALITY,WILEY-HINDAWI,,ANTIHEMOLYTIC ACTIVITIES; ANTIOXIDANT ACTIVITIES; BIOLOGICAL-ACTIVITIES; OILS,"[Savadi, Samira; Vazifedoost, Mohsen; Didar, Zohre] Islamic Azad Univ, Neyshabur Branch, Dept Food Sci & Technol, Neyshabur, Iran; [Nematshahi, Mohammad Mahdi] Islamic Azad Univ, Sabzevar Branch, Dept Food Sci & Technol, Sabzevar, Iran; [Nematshahi, Mohammad Mahdi] Islamic Azad Univ, Sabzevar Branch, Young Researchers & Elite Club, Sabzevar, Iran; [Jahed, Eisa] Urmia Univ, Dept Food Sci & Technol, Orumiyeh, Iran",Cynodon dactylon,,Poaceae,,"phenolics, noise","phenolics, noise","Escherichia coli, Pseudomonas aeruginosa, Bacillus cereus","negative, negative, positive",Aspergillus niger,Cynodon dactylon,Poaceae,Cynodon,Iran
10.3390/biom11081222,"Ferreira-Santos, P; Badim, H; Salvador, AC; Silvestre, AJD; Santos, SAO; Rocha, SM; Sousa, AM; Pereira, MO; Wilson, CP; Rocha, CMR; Teixeira, JA; Botelho, CM",2021,Chemical Characterization of Sambucus nigra L. Flowers Aqueous Extract and Its Biological Implications,"The main goal of this study was to chemically characterize an aqueous S. nigra flower extract and validate it as a bioactive agent. The elderflower aqueous extraction was performed at different temperatures (50, 70 and 90 degrees C). The extract obtained at 90 degrees C exhibited the highest phenolic content and antiradical activity. Therefore, this extract was analyzed by GC-MS and HPLC-MS, which allowed the identification of 46 compounds, being quercetin and chlorogenic acid derivatives representative of 86% of the total of phenolic compounds identified in hydrophilic fraction of the aqueous extract. Naringenin (27.2%) was the major compound present in the lipophilic fraction. The antiproliferative effects of the S. nigra extract were evaluated using the colon cancer cell lines RKO, HCT-116, Caco-2 and the extract's antigenotoxic potential was evaluated by the Comet assay in RKO cells. The RKO cells were the most susceptible to S. nigra flower extract (IC50 = 1250 mu g mL(-1)). Moreover, the extract showed antimicrobial activity against Gram-positive bacteria, particularly Staphylococcus aureus and S. epidermidis. These results show that S. nigra based extracts can be an important dietary source of bioactive phenolic compounds that contribute to health-span improving life quality, demonstrating their potential as nutraceutical, functional foods and/or cosmetic components for therapeutic purposes.",BIOMOLECULES,MDPI,elderflower; GC-MS; HPLC-MS; chemical profile; phenolic compounds; cytotoxicity; antibacterial activity; antioxidant activity,PHENOLIC-COMPOUNDS; IN-VITRO; ANTIOXIDANT PROPERTIES; MEDICINAL-PLANTS; CHLOROGENIC ACID; URSOLIC ACID; HEPG2 CELLS; RICH SOURCE; QUERCETIN; NARINGENIN,"[Ferreira-Santos, Pedro; Badim, Helder; Sousa, Ana M.; Pereira, Maria Olivia; Wilson, Cristina Pereira; Rocha, Cristina M. R.; Teixeira, Jose Antonio; Botelho, Claudia M.] Univ Minho, CEB Ctr Biol Engn, Campus Gualtar, P-4710057 Braga, Portugal; [Salvador, Angelo C.; Silvestre, Armando J. D.; Santos, Sonia A. O.] Univ Aveiro, CICECO Aveiro Inst Mat, Chem Dept, Campus Santiago, P-38101930 Aveiro, Portugal; [Rocha, Silvia M.] Univ Aveiro, Dept Quim, P-3810193 Aveiro, Portugal; [Rocha, Silvia M.] Univ Aveiro, LAQV REQUIMTE, P-3810193 Aveiro, Portugal; [Wilson, Cristina Pereira] Univ Minho, Dept Biol, Campus Gualtar, P-4710057 Braga, Portugal",Sambucus nigra,,Viburnaceae,,phenolics,phenolics,Staphylococcus aureus,positive,,Sambucus nigra,Viburnaceae,Sambucus,Portugal
10.1155/2023/6934398,"Sherif, MM; Elshikh, HH; Abdel-Aziz, MM; Elaasser, MM; Yosri, M",2023,In Vitro Antibacterial and Phytochemical Screening of Hypericum perforatum Extract as Potential Antimicrobial Agents against Multi-Drug-Resistant (MDR) Strains of Clinical Origin,"Background. The perennial plant Hypericum perforatum is widely distributed around the world. It has been used for many years in conventional medicine to treat a variety of illnesses, including stress, mild to moderate depression, and minor injuries. This study examined the antimicrobial activity of the H. perforatum total extract and its fractions (n-hexane, ethyl acetate, chloroform, and aqueous) against multi-drug-resistant (MDR) isolates that were gathered from clinical samples, including methicillin-resistant Staphylococcus aureus (MRSA), Enterococcus faecalis, Escherichia coli, and Klebsiella pneumonia. Materials and Methods. Aerial parts of H. perforatum were collected and extracted using various solvents and were tested versus different isolated bacterial species. The inhibition zone of tested extracts was detected using an agar diffusion assay, and MICs were measured. Phytochemical analysis of promising H. perforatum extract was done using LC-ESI-MS/MS. Ultrastructure examination for the most altered bacteria used transmission electron microscopy. Antioxidant assays were done using DPPH and ABTS scavenging capacity methods. Cytotoxicity was reported versus Vero cells. Results. Different extracts of H. perforatum showed promising antibacterial activity against the pathogens. While the subfractions of the total extract were observed to show lesser inhibition zones and higher MIC values than the total extract of H. perforatum against MDR strains, the total extract of H. perforatum demonstrated the most potent antimicrobial action with an inhibition zone range of 17.9-27.9 mm. MDR-K. pneumoniae was discovered to be the most susceptible strain, which is consistent with the antibacterial inhibitory action of H. perforatum whole extract. Additionally, after treatment at the minimum inhibitory concentration (MIC 3.9 mu g/ml), the transmission electron microscope showed alterations in the ultrastructure of the K. pneumoniae cells. Methanol extract from H. perforatum has a CC50 value of 976.75 mu g/ml. Conclusion. Future inhibitors that target MDR strains may be revealed by these findings. Additionally, the extracts that were put to the test demonstrated strong antioxidant effects as shown by DPPH or ABTS radical-scavenging assays.",BIOMED RESEARCH INTERNATIONAL,HINDAWI LTD,,,"[Sherif, Momen M.; Elshikh, Hussien H.] Al Azhar Univ, Fac Sci, Dept Microbiol, Cairo 11841, Egypt; [Elshikh, Hussien H.; Abdel-Aziz, Marwa M.; Elaasser, Mahmoud M.; Yosri, Mohammed] Al Azhar Univ, Reg Ctr Mycol & Biotechnol, Cairo 11787, Egypt",Hypericum perforatum,,Hypericaceae,,noise,noise,"Staphylococcus aureus, Escherichia coli, Enterococcus faecalis","positive, negative, positive",,Hypericum perforatum,Hypericaceae,Hypericum,Egypt
10.1080/11263504.2023.2257720,"Altemimi, AB; Mohammed, MJ; Alkanan, ZT; Abdulrahman, SH; Allaitha, SA; Abedelmaksoud, TG; ALKaisy, QH; Najm, MAA; Cacciola, F; Srinivasan, PV",2023,Bioactive compounds of Citrullus colocynthis aerial parts: characterization and biological properties,"In this study, the bioactive components of Citrullus colocynthis extracts were analyzed in view of their potential use as antioxidant/antibacterial agent. The bioactive compounds were extracted in different organic solvents (hexane, ethanol and ethyl acetate) and analyzed by column chromatography, thin-layer chromatography, high-performance liquid chromatography and gas chromatography-mass spectrophotometry (GC-MS). Three distinct fractions were collected and subsequently examined, one from ethyl acetate extraction (I) and two from ethanolic extraction (II and III). p-Coumaric acid was the major phenolic acid from the ethyl acetate extracts (0.11 +/- 0.023 mg/kg) while resorcinol was the major phenolic compound from the ethanol extracts (25.00 +/- 3.21 mg/kg). Twenty-four bioactive compounds were identified by GC-MS analysis where 1-docosanol pentafluoropropionate was the major bioactive compound in ethanol extracts. Among the ethanol extracts, the highest antioxidant activity was found in fraction III. The highest anti-bacterial activity values, measured in terms of the size of the inhibition zone (mm) against Bacillus cereus and Staphylococcus aureus, i.e. 24 +/- 1.62 and 22 +/- 2.19 mm, respectively, were attained at 24 mu g/mL for fractions III and I. From the results achieved in this work, ethanol extracts of C. colocynthis aerial parts could be considered promising as antioxidant and anti-infectious agents.",PLANT BIOSYSTEMS,TAYLOR & FRANCIS LTD,Citrullus colocynthis aerial parts; bioactive compounds; hPLC; GC-ms; antioxidant; antibacterial,ANTIOXIDANT ACTIVITY; L. SCHRAD.; CAPACITY; EXTRACTS; FRUIT,"[Altemimi, Ammar B.; Alkanan, Zina T.] Univ Basrah, Coll Agr, Dept Food Sci, Basrah, Iraq; [Mohammed, Muthanna J.] Univ Mosul, Coll Educ Pure Sci, Dept Biol, Mosul, Iraq; [Abdulrahman, Shaymaa H.] Univ Mosul, Coll Sci, Dept Chem, Mosul, Iraq; [Allaitha, Shatha A.] Karbala Univ, Fac Agr, Field Crops Dept, Karbala, Iraq; [Abedelmaksoud, Tarek Gamal] Cairo Univ, Fac Agr, Food Sci Dept, Giza, Egypt; [ALKaisy, Qausar Hamed] AL Qasim Green Univ, Coll Food Sci, Dept Dairy Sci & Technol, Al Qasim, Iraq; [Najm, Mazin A. A.] Al Ayen Univ, Coll Pharm, Pharmaceut Chem Dept, Thi Qar, Iraq; [Cacciola, Francesco] Univ Messina, Dept Biomed Dent Morphol & Funct Imaging Sci, Messina, Italy; [Srinivasan, P. Vasantha] Saveetha Inst Med 17 & Tech Sci SIMATS, Saveetha Sch Engn, Dept Bioinformat, Chennai, India",Citrullus colocynthis,,Cucurbitaceae,,"phenolics, noise, coumarins","phenolics, noise, coumarins","Staphylococcus aureus, Bacillus cereus","positive, positive",,Citrullus colocynthis,Cucurbitaceae,Citrullus,Iraq
10.1016/j.indcrop.2019.111921,"Mahendra, C; Murali, M; Manasa, G; Sudarshana, MS",2020,Biopotentiality of leaf and leaf derived callus extracts of Salacia macrosperma Wight. - An endangered medicinal plant of Western Ghats,"Standardization of protocol for induction of callus in Salacia macrosperma Wight was achieved with 98% in combination of 2, 4-dichlorophenoxyacetic acid and benzylaminopurine at 2.5 +/- 1.5 mg mL(-1) concentrations. This was followed by sequential solvent extraction of leaf and its callus and then subjected for phytochemical analysis. The biochemical test revealed the presence of varied classes of phytoconstituents both in leaf and callus extracts. The antimicrobial activities of the crude extracts showed significant inhibition against tested pathogens. The methanol leaf extract offered maximum inhibition against E. coli (15.50 mm), Salmonella typhi (17.33 mm), Staphylococcus aureus (15.50 mm), Bacillus subtilis (17.16 mm), Pseudomonas aeruginosa (16.66 mm). The inhibition against fungal pathogens like Aspergillus flavus (13.66 mm) Fusarium oxysporum (15.63 mm), F.moniliforme (17.53 mm) and Candida alblcans (16.10 mm) and no activity was observed in hexane and petroleum ether extracts. The MIC range between 0.312-2.5 mg mL(-1), which was further confirmed by cell viability test and changes in cellular morphology, was observed by scanning electron microscope upon treatment. Likewise, total phenolic, flavonoid contents and antioxidant properties by DPPH assay, nitric oxide scavenging, phosphomolybdenum and reducing power assay were carried out and all the extracts employed significant results in a dose-dependent manner. Further, a haemolytic test revealed anti-haemolysis of 5.24% and 2.89% respectively at higher concentration (500 mu g mL(-1)) in leaf and callus methanol extracts without negative effects on human erythrocytes. Overall the results stated that higher bioefficacy was observed in leaf extracts than a callus. Thus, employment of tissue culture strategy helps in order to enhance the bioactive metabolites of interest and also to conserve endangered medicinal plants.",INDUSTRIAL CROPS AND PRODUCTS,ELSEVIER,Callogenesis; Fluorescent microscopy; Haemolytic; Antimicrobial; Antioxidant; SEM; Salacia macrosperma,IN-VITRO; ANTIBACTERIAL ACTIVITY; PHYTOCHEMICAL ANALYSIS; AQUEOUS EXTRACT; ANTIOXIDANT; WILD; ROOT; VIVO,"[Mahendra, C.; Manasa, G.; Sudarshana, M. S.] Univ Mysore, Dept Studies Bot, Plant Tissue Culture & Biotechnol Lab, Mysuru 570006, Karnataka, India; [Murali, M.] Univ Mysore, Dept Studies Bot, Mysuru 570006, Karnataka, India",Salacia macrosperma,,Celastraceae,,"phenolics, flavonoids, noise","phenolics, flavonoids, noise","Bacillus subtilis, Staphylococcus aureus, Pseudomonas aeruginosa","positive, positive, negative","Fusarium oxysporum, Aspergillus flavus",Salacia macrosperma,Celastraceae,Salacia,India
