bioactives,count
phenolic,115
flavonoids,101
tannins,50
flavonoid,48
polyphenols,37
alkaloids,36
saponins,29
essential oil,28
phenolics,28
phenols,27
examined,26
glycosides,25
terpenoids,23
phenol,19
anthocyanins,18
steroids,12
tannin,11
polyphenol,11
essential oils,10
catechin,10
glycoside,9
polyphenolic,9
alkaloid,8
saponin,8
carotene,7
coumaric,7
coumarins,7
triterpenoids,7
anthocyanin,7
quinones,6
anthraquinones,6
flavonols,5
flavones,5
flavus,5
steroid,5
carotenoids,5
flavone,4
examine,4
sesquiterpenes,3
triterpenes,3
coumarin,3
terpenes,3
flavonol,3
monoterpenes,3
flavour,3
terpenoid,3
amines,3
flavanols,3
coumaroyl,3
aminoglycosides,3
carotenoid,3
amine,2
thymoquinone,2
ellagitannins,2
anthocyanidin,2
triterpene,2
gallocatechin,2
epicatechin,2
sulforhodamine,2
sesquiterpene,2
catechins,2
coumaroylhexoside,1
examines,1
chalcones,1
methoxycoumaroylaloeresin,1
diphenol,1
flavonones,1
flavonolols,1
chromones,1
anthraquinone,1
dihydroflavonol,1
terpenic,1
Essential oil,1
flavoring,1
malignancies,1
epigallocatechin,1
viridiflava,1
flavor,1
iridoids,1
alkaloidal,1
carotenes,1
monoterpene,1
polemoniumsaponins,1
flavanones,1
anthocyanidins,1
glutamine,1
feruloylglycosideum,1
glycosideum,1
proanthocyandins,1
tetrahydroxyxanthone,1
flavanone,1
diterpene,1
amide,1
flavan,1
isoflavones,1
flavanoids,1
sesquiterpenoids,1
dihydroflavonols,1
coumarate,1
diterpenoids,1
ceramide,1
entadamide,1
methoxydihydrochalcone,1
dihydrochalcone,1
acetamide,1
coumaroylglycosideum,1
atalantoflavone,1
diterpenes,1
dimethoxyflavone,1
trimethoxyflavone,1
diglycosides,1
tyramine,1
catecholamines,1
hydroxybenzofuran,1
coumarylheptanedioic,1
vernoguinoflavone,1
trihydroxyflavon,1
lichexanthone,1
diterpenoid,1
dihydroisocoumarins,1
dicoumarinyl,1
chalcone,1
bicoumarin,1
flavous,1
glucosinolate,1
phlobatannins,1
triterpenoid,1
flavonoides,1
phenylpropanoids,1
benzoquinone,1
saponines,1
Essential oils,1
malignant,1
polyphenolics,1
glucosamine,1
glycosidic,1
flavanoid,1
proanthocyanidins,1
