bioactives,count
phenolic,244
flavonoids,187
flavonoid,117
tannins,74
phenolics,69
polyphenols,65
alkaloids,49
examined,45
saponins,41
essential oil,35
polyphenol,34
catechin,32
phenols,32
coumaric,30
glycosides,29
steroids,27
terpenoids,26
polyphenolic,26
carotene,25
phenol,22
essential oils,17
tannin,17
anthocyanins,16
examine,14
epicatechin,14
carotenoids,12
triterpenoids,12
coumarins,12
flavonols,11
triterpenes,11
anthocyanin,11
sesquiterpenes,10
flavus,10
glycoside,9
alkaloid,9
flavonol,9
terpenes,8
epigallocatechin,8
flavan,7
anthraquinones,7
diterpenes,7
monoterpenes,7
triterpene,6
chalcone,6
thymoquinone,6
coumarin,6
steroid,6
amines,5
catechins,5
Essential oils,5
lignans,5
sesquiterpene,5
terpenoid,5
sesquiterpenoids,5
flavones,5
Essential oil,5
triterpenoid,4
flavor,4
flavanols,4
iridoids,4
flavanones,4
flavanoids,4
proanthocyanidin,4
diterpenoids,4
diterpenoid,4
isoflavonoids,4
diterpene,4
isoflavones,3
polyacetylene,3
anthraquinone,3
amides,3
saponin,3
phlobatannins,3
phenylethanoid,3
coumaroyl,3
xanthones,3
quinones,3
hydroxycoumarin,3
lignan,3
terpene,2
hydroquinone,2
ellagitannins,2
isoflavone,2
sulforhodamine,2
galantamine,2
riboflavin,2
amide,2
oleamide,2
capsaicin,2
proanthocyanidins,2
licochalcone,2
flavone,2
flavanoid,2
dimethoxyflavone,2
octadecanamine,1
theaflavins,1
erucamide,1
xanthone,1
flavanone,1
neolignan,1
malignant,1
alkylphloroglucinol,1
pterostilbene,1
flavonoide,1
benzoquinone,1
terpens,1
carotenoid,1
prenylflavanones,1
flavoniod,1
capsaicinoids,1
phenylethanol,1
sesquiterpenyl,1
coumaryl,1
rhodioflavonoside,1
terpenyl,1
gastrodiamide,1
phenylethanoids,1
proanthocyanins,1
pyrazinamide,1
acetamide,1
glycosidase,1
diterpenic,1
flavanonol,1
trimethoxyflavanone,1
aminoglycosides,1
retamine,1
secoiridoids,1
monoterpenoid,1
polyphenolics,1
anthramine,1
octadecanamide,1
dopamine,1
phlorotannins,1
gallocatechin,1
bisphenol,1
punicatannin,1
glycosidic,1
hexadecanamide,1
indolamine,1
phenylenediamine,1
phloroglucinols,1
trihydroxylchalcone,1
acylphloroglucinols,1
sulfonamide,1
galanthamine,1
thymohydroquinone,1
dithymoquinone,1
benzofuran,1
flavescens,1
octadecenamide,1
coumarate,1
glucosinolates,1
isopropyamine,1
amentoflavone,1
carbamide,1
isoflavonids,1
glucosamine,1
flavors,1
ceramides,1
graminearum,1
phytosteroids,1
terpenic,1
malignancies,1
phenological,1
coumaroylquinic,1
flavonoidsd,1
chingchengenamide,1
phloroglucinol,1
aminoglycoside,1
monoterpene,1
phenylpropanoids,1
benzamide,1
docosenamide,1
triterpenic,1
sesquiterpenoid,1
iridoid,1
ellagitannin,1
neoflavones,1
isobavachalcone,1
isoflavanones,1
isoflavanoids,1
glycycoumarin,1
furanocoumarins,1
trimethoxycoumarin,1
dimethylflavone,1
dihydrochalcones,1
ilwensisaponin,1
gallotannins,1
dihydroxyphenylethanol,1
stamineus,1
prenylstilbene,1
stilbenes,1
acetyltriterpenoids,1
trimethoxyflavone,1
methoxychalcone,1
dihydroxychalcone,1
cyanogenic glycosides,1
diphenols,1
apocarotenes,1
chalcones,1
leucoanthocyanidins,1
flavonones,1
stilbene,1
