Termo,Frequência
india,196
brazil,131
pakistan,93
china,86
turkey,74
tunisia,49
egypt,48
algeria,45
morocco,42
mexico,39
iran,39
poland,35
serbia,35
italy,33
portugal,32
thailand,31
romania,31
malaysia,29
saudi arabia,28
nigeria,25
cameroon,23
south africa,21
vietnam,18
united states,17
south korea,15
france,13
iraq,12
australia,11
ethiopia,11
indonesia,11
nepal,10
ecuador,10
spain,10
germany,10
philippines,8
czech republic,8
bangladesh,7
argentina,7
colombia,7
kenya,7
slovakia,7
hungary,6
greece,6
chile,6
russia,6
bulgaria,6
jordan,6
slovenia,5
kazakhstan,5
united kingdom,5
lithuania,5
ukraine,5
canada,5
lebanon,5
ghana,4
libya,4
israel,4
benin,4
sudan,3
sri lanka,3
oman,3
peru,2
croatia,2
netherlands,2
mauritius,2
venezuela,2
belgium,2
sweden,2
gabon,2
madagascar,2
brunei,2
zimbabwe,1
cuba,1
moldova,1
denmark,1
panama,1
finland,1
mozambique,1
cyprus,1
mali,1
niger,1
armenia,1
new zealand,1
estonia,1
montserrat,1
togo,1
taiwan,1
costa rica,1
japan,1
norway,1
comoros,1
tanzania,1
uganda,1
senegal,1
