FUNG,phenolics,tannins,coumarins,carotenes,flavonoids,triterpenoids,steroids,noise,alkaloids,anthraquinones,saponins,isolated compounds,terpenoids,lignans,sesquiterpenes,monoterpenes,phenylpropanoids,diterpenes,xanthones,iridoids,phenylethanoids,piperamides,stilbenoids,alkamides,cyanogenic glycosides
Aspergillus niger,83,45,8,3,77,3,14,88,32,5,33,6,20,1,6,2,0,0,0,0,0,0,0,0,1
Fusarium oxysporum,29,6,2,1,25,1,3,15,10,4,5,4,4,1,3,0,0,2,0,0,1,0,0,0,0
Aspergillus flavus,25,17,3,2,25,3,6,66,14,4,12,2,7,0,3,1,0,0,0,0,0,0,0,0,0
Candida albicans,212,79,25,23,194,22,23,176,43,14,50,37,29,4,14,6,3,5,5,4,4,0,1,0,0
Trichophyton rubrum,10,1,0,0,8,0,0,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Candida parapsilosis,10,3,1,3,10,2,0,9,1,1,2,2,1,0,0,0,0,0,1,2,1,0,1,0,0
Saccharomyces cerevisiae,31,6,4,4,22,4,4,16,3,0,5,7,4,0,0,0,0,0,0,0,0,0,1,0,0
Cryptococcus neoformans,6,4,2,0,7,2,3,7,2,0,3,1,0,0,2,0,0,0,6,2,0,0,1,0,0
Candida tropicalis,16,4,3,6,15,1,3,7,2,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0
Trichosporon asahii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium sp.,2,2,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusarium graminearum,0,0,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Penicillium roqueforti,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucor hiemalis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aspergillus fumigatus,11,7,4,2,11,1,2,11,4,0,5,2,2,0,2,0,0,0,0,0,1,0,0,0,0
Penicillium chrysogenum,0,1,0,1,3,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Yarrowia lipolytica,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodotorula mucilaginosa,3,1,0,0,1,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Epidermophyton floccosum,2,1,0,0,1,0,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trichophyton mentagrophytes,2,2,0,0,11,2,2,9,0,0,2,0,1,3,1,0,0,0,0,0,1,0,0,0,0
Malassezia furfur,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
