Termo,Frequência
phenolic,2586
flavonoids,1949
flavonoid,1114
tannins,735
polyphenols,640
phenolics,629
alkaloids,614
saponins,481
phenols,446
essential oil,419
glycosides,401
examined,395
terpenoids,371
phenol,311
polyphenolic,298
catechin,286
polyphenol,282
steroids,281
essential oils,280
coumaric,226
carotene,198
anthocyanins,191
tannin,186
coumarins,155
triterpenoids,140
carotenoids,137
flavonols,137
terpenes,115
examine,114
triterpenes,109
epicatechin,109
alkaloid,106
saponin,103
anthocyanin,102
glycoside,102
anthraquinones,98
sesquiterpenes,98
sesquiterpene,95
flavones,91
flavus,85
coumarin,71
flavonol,60
proanthocyanidins,59
monoterpenes,57
lignans,56
flavor,52
flavan,49
steroid,49
triterpenoid,48
flavanones,48
triterpene,47
terpenoid,45
diterpenes,44
carotenoid,40
monoterpene,39
flavanols,39
thymoquinone,39
xanthones,39
quinones,38
flavone,37
catechins,34
anthraquinone,33
phenylpropanoids,33
iridoids,32
terpene,30
ellagitannins,29
sesquiterpenoids,28
epigallocatechin,27
amides,25
diterpenoids,25
proanthocyanidin,24
amines,24
isoflavonoids,24
iridoid,24
flavanoids,23
steroidal,22
stilbenes,21
amine,20
chalcones,20
lignan,20
gallocatechin,19
coumaroyl,19
flavanone,19
phloroglucinol,19
chalcone,18
polyphenolics,18
flavanol,18
diterpenoid,18
xanthone,18
phlobatannins,16
isoflavones,15
phenylpropanoid,15
galantamine,15
sulforhodamine,15
diterpene,15
malignant,14
phenological,14
dihydroflavonols,14
examines,13
terpenic,13
flavoring,13
benzofuran,12
monoterpenoids,12
phenylethanoid,12
flavour,12
gallotannins,12
coumaroylquinic,11
graminearum,10
glycosidase,10
amide,10
triterpenic,10
isoflavone,10
hydroxycoumarin,10
galanthamine,10
hydroquinone,9
polyacetylenes,9
neolignans,9
furanocoumarins,9
stilbenoids,9
dimethoxyflavone,9
riboflavin,9
biflavonoids,8
flavescens,8
phloroglucinols,8
sesquiterpenoid,8
amentoflavone,8
isoflavonoid,8
stilbene,8
neolignan,7
flavors,7
diphenols,7
chromones,7
flava,7
benzoquinone,7
dihydrochalcones,7
butylphenol,7
cyanogenic glycosides,7
alkaloidal,7
flavanoid,7
monoterpenoid,6
flavonoides,6
aminoglycosides,6
monoamine,6
phlobatannin,6
ellagitannin,6
secoiridoid,6
glycosidic,6
dihydrochalcone,6
anthocyanidins,6
malignancies,6
methoxychalcone,6
quinone,6
flavouring,5
glucosinolates,5
leucoanthocyanins,5
polyacetylene,5
proanthocyanins,5
dihydroflavonol,5
glucosamine,5
flavonones,5
diterpenic,5
thiamine,5
acylphloroglucinol,5
methoxyflavone,5
glutamine,5
dihydroxychalcone,5
octadecenamide,4
glycoalkaloids,4
triterpens,4
docosenamide,4
glibenclamide,4
capsaicin,4
furocoumarins,4
trimethoxyflavone,4
cyclophosphamide,4
naphthoquinones,4
pyranocoumarins,4
vinylphenol,4
benzamide,4
acetamide,4
phenylethanoids,4
naphthoquinone,4
dopamine,4
dithymoquinone,4
acylphloroglucinols,4
flavedo,3
dihydrobenzofuran,3
flavours,3
glucosinolate,3
capsaicinoids,3
soyasaponin,3
hexamethoxyflavone,3
phlorotannins,3
ethylenediaminetetraacetic,3
licochalcone,3
terpens,3
secoiridoids,3
hydroxyflavone,3
piperamide,3
oleamide,3
phytosteroids,3
methoxycoumarin,3
anthroquinone,3
chromone,3
isoflavanones,3
histamine,3
diphenol,3
morelloflavone,3
biflavonoid,3
phenylethanol,3
carotenes,3
anthocyanidin,3
dimethoxychalcone,3
glycoalkaloid,3
thymohydroquinone,3
biflavones,3
isobavachalcone,3
flavanonols,3
alkamides,3
coumarate,3
nicotinamide,3
tyramine,3
phenylpropane,3
monophenolase,2
diphenolase,2
phlobotannins,2
hydroxylamine,2
furanoflavonoids,2
diglycosides,2
monoterpenic,2
tetramethoxyflavone,2
flavonic,2
dihydrocapsaicin,2
caroten,2
anthroquinones,2
flavons,2
theaflavin,2
alkamide,2
lignane,2
antihistamine,2
benzofurans,2
hydroxyanthraquinone,2
pcoumaric,2
furanocoumarin,2
ceramides,2
ceramide,2
catechine,2
polyamines,2
methoxydihydrochalcone,2
columbamine,2
