Termo,Frequência
staphylococcus aureus,871
escherichia coli,668
pseudomonas aeruginosa,385
bacillus subtilis,246
bacillus cereus,173
enterococcus faecalis,114
klebsiella pneumoniae,112
listeria monocytogenes,95
staphylococcus epidermidis,79
salmonella enterica,51
proteus mirabilis,47
micrococcus luteus,40
proteus vulgaris,39
streptococcus pyogenes,31
acinetobacter baumannii,20
shigella flexneri,20
streptococcus pneumoniae,16
enterococcus faecium,14
helicobacter pylori,14
listeria innocua,11
yersinia enterocolitica,11
shigella dysenteriae,11
vibrio cholerae,11
serratia marcescens,10
clostridium perfringens,10
enterobacter cloacae,10
aeromonas hydrophila,9
streptococcus agalactiae,9
vibrio parahaemolyticus,8
bacillus pumilus,7
mycobacterium tuberculosis,7
klebsiella oxytoca,6
citrobacter freundii,6
bacillus licheniformis,6
streptococcus mitis,6
campylobacter jejuni,5
morganella morganii,5
shigella sonnei,4
pasteurella multocida,4
moraxella catarrhalis,4
neisseria gonorrhoeae,3
staphylococcus saprophyticus,3
porphyromonas gingivalis,3
lactiplantibacillus plantarum,3
cutibacterium acnes,3
streptococcus suis,3
bacillus thuringiensis,3
klebsiella aerogenes,3
haemophilus influenzae,3
corynebacterium diphtheriae,3
lactobacillus acidophilus,3
bordetella bronchiseptica,3
yersinia pseudotuberculosis,2
corynebacterium ulcerans,2
shewanella putrefaciens,2
cronobacter sakazakii,2
stenotrophomonas maltophilia,2
burkholderia cepacia,2
pantoea agglomerans,2
staphylococcus haemolyticus,2
streptococcus salivarius,2
edwardsiella tarda,2
streptococcus sanguinis,2
vibrio vulnificus,2
latilactobacillus sakei,1
enterobacter hormaechei,1
enterococcus casseliflavus,1
shigella boydii,1
streptococcus uberis,1
lacticaseibacillus rhamnosus,1
staphylococcus hominis,1
mycobacterium avium,1
acinetobacter lwoffii,1
acinetobacter haemolyticus,1
actinomyces israelii,1
fusobacterium nucleatum,1
corynebacterium minutissimum,1
lactococcus lactis,1
streptococcus oralis,1
streptococcus iniae,1
listeria ivanovii,1
corynebacterium xerosis,1
photobacterium damselae,1
burkholderia gladioli,1
salmonella bongori,1
bacillus atrophaeus,1
vibrio alginolyticus,1
providencia stuartii,1
streptococcus dysgalactiae,1
acinetobacter junii,1
bordetella pertussis,1
gardnerella vaginalis,1
gemella haemolysans,1
streptococcus constellatus,1
bacteroides fragilis,1
